customer_id,customer_amount
1,500
2,501
3,502
4,503
5,504
6,505
7,506
8,507
9,508
10,509
11,510
12,511
13,512
14,513
15,514
16,515
17,516
18,517
19,518
20,519
21,520
22,521
23,522
24,523
25,524
26,525
27,526
28,527
29,528
30,529
31,530
32,531
33,532
34,533
35,534
36,535
37,536
38,537
39,538
40,539
41,540
42,541
43,542
44,543
45,544
46,545
47,546
48,547
49,548
50,549
51,550
52,551
53,552
54,553
55,554
56,555
57,556
58,557
59,558
60,559
61,560
62,561
63,562
64,563
65,564
66,565
67,566
68,567
69,568
70,569
71,570
72,571
73,572
74,573
75,574
76,575
77,576
78,577
79,578
80,579
81,580
82,581
83,582
84,583
85,584
86,585
87,586
88,587
89,588
90,589
91,590
92,591
93,592
94,593
95,594
96,595
97,596
98,597
99,598
100,599
101,600
102,601
103,602
104,603
105,604
106,605
107,606
108,607
109,608
110,609
111,610
112,611
113,612
114,613
115,614
116,615
117,616
118,617
119,618
120,619
121,620
122,621
123,622
124,623
125,624
126,625
127,626
128,627
129,628
130,629
131,630
132,631
133,632
134,633
135,634
136,635
137,636
138,637
139,638
140,639
141,640
142,641
143,642
144,643
145,644
146,645
